Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2024-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Congo, Dem. Rep.",COD,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.92901711,16.74133333,16.09467043,17.05842744,4.329727218,5.239368773,5.586590443,5.670875071,8.878637513,9.520712274,2.045767706,5.649167394,7.481772825,7.698880968,10.26298005,13.11640396,14.42796226,12.73689922,12.35202634,11.30523048,8.369744794,,14.2195459,13.09487914,12.26673252,12.54843795,12.34978006,7.737007724,9.884390144,7.98205496,9.078614921,9.231087254,13.32295425,
"Congo, Rep.",COG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.51052092,26.79937289,19.5450881,28.67154346,21.45222622,17.76241891,18.47337749,15.30373258,13.87947089,10.75903458,10.17665001,11.65466699,10.87695363,12.7647551,14.89587147,17.1512744,16.03966164,16.42202443,16.22710869,17.79500034,16.13213896,,
Colombia,COL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.31660667,22.12019435,16.93314287,,,27.62228172,,,,,24.5684126,24.73007213,25.40438426,24.22474028,25.0329863,33.28519314,30.16259177,26.81567706,28.6308351,27.50496391,29.97179072,31.30470656,36.55439348,35.66354866,32.73243169,
Comoros,COM,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.70337695,26.92150197,20.62434775,19.05271237,18.10736757,17.98201747,17.78659527,16.83423813,16.95866242,17.9305656,19.3035743,19.07419103,18.66949459,22.51057954,23.87664517,30.8820649,,,
Costa Rica,CRI,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,15.54750831,15.05784798,16.30505943,16.34777225,16.1408549,20.53394925,21.28127096,21.59133407,18.09021274,16.62477154,20.97220719,20.0232009,19.50790169,24.25588847,25.56114678,23.21420198,24.35956645,24.24988223,18.41800428,17.7816496,19.36344696,23.00190167,21.54132385,22.49141495,21.39456423,21.06179097,22.12369714,22.03412292,22.7586749,24.59491651,23.62189843,22.52538601,22.64636281,21.60123033,21.16080786,21.66893939,24.74499251,25.61362833,25.37852071,25.94468316,26.51773958,26.73585811,28.55489407,27.14673342,25.39672837,28.91922483,29.63822635,32.25344489,29.36960755,28.59352194,
Caribbean small states,CSS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
